Mask Off,Future
Childs Play,Drake
Digital Animal,Honey Claws
Subways - In Flagranti Extended Edit,The Avalanches
Donme Dolap - Baris K Edit,Modern Folk Üçlüsü
Char,Crystal Castles
Percolator (Jamie Jones Vault Mix) - mixed,Cajmere
House of Jealous Lovers,The Rapture
Milly Rock,2milly
Best Friend,Young Thug
Somebody's Watching Me,Rockwell
Coming Home,Leon Bridges
I Know There's Gonna Be (Good Times),Jamie xx
Dopeman,Vince Staples
California Nights,Best Coast
Ain't No Love In The Heart Of The City - Single Version,Bobby "Blue" Bland
Sentimental Trash,Sweet Valley
Look At Wrist,Father
I Ain't Trippin off Nothin,Ezale
Have Love Will Travel,The Sonics
The Payback,James Brown
Dadje Von O Von Non,Gnonnas Pédro
Sugah Daddy,D'Angelo
International Players Anthem,Swishahouse
Walk,Kwabs
The Gaudy Side of Town,Gayngs
U Mad,Vic Mensa
Leave A Trace,CHVRCHES
With That (feat. Duke),Young Thug
No Type,Rae Sremmurd
Chasing Heaven,Bassnectar
Pyramids,Frank Ocean
Demon,Shamir
The Buzz (feat. Mataya & Young Tapz),Hermitude
All Day,Kanye West
Alright,Kendrick Lamar
Know Yourself,Drake
Next to You,Poolside
Confess To Me,Disclosure
New Slaves,Kanye West
Sexy Socialite,Chromeo
Weight,Mikal Cronin
When A Fire Starts To Burn,Disclosure
Billie Holiday,Warpaint
The Wire,HAIM
Rocking Chair,The Districts
New York City,Christopher Owens
Moving to the Left,Woods
When The Night Falls - feat. Solange Knowles,Chromeo
Don't You Evah,Spoon
Careless,Dusky
Bang! Bang!,Joe Cuba
Blood On The Leaves,Kanye West
Cocaine Model,ZHU
I Would Die 4 U,Prince
Bless My Soul,Nightmares On Wax
Got To Give It Up (Part 1),Marvin Gaye
Never Gonna Give You Up,Barry White
It #1,Ty Segall
You're the Best,Wet
Sitting Pretty (feat. Wiz Khalifa),Ty Dolla $ign
Distant Land,Madlib
WTF (Where They From) [feat. Pharrell Williams],Missy Elliott
Sugar for the Queen,Bells Atlas
Symphony of the Nymph,Ariel Pink's Haunted Graffiti
Batuque (Jeremy Sole & Atropolis Remix),Dom La Nena
Locket,Kilo Kish
The Righteous One,The Orwells
The New International Sound,GENER8ION
Enjoy The Silence - Remastered Version Original,Depeche Mode
Archangel,Burial
Free Stress Test,Professor Murder
I'm Ya Dogg,Snoop Dogg
When They Fight, They Fight,Generationals
Feel The Volume,Jauz
Beautiful Life (feat. Action Bronson & Joey Bada$$),Statik Selektah
Disco Devil,Lee "Scratch" Perry
Atomic Bomb,William Onyeabor
Time-Out,Terror Train
Shooting Stars,Bag Raiders
Make Them Gold,CHVRCHES
Grinder,Gary Clark Jr.
Choices (Yup),E-40
Probably Nu It,Tree
Mamacita,Travis Scott
Star,Gary Clark Jr.
Gooey,Glass Animals
Omen - Radio Edit,Disclosure
Childs Play (feat. Chance the Rapper),SZA
Outro,M83
Black And White,Parquet Courts
200 Press,James Blake
Huarache Lights,Hot Chip
Leave House,Caribou
Sweet Power, Your Embrace,James Mason
Baby,Donnie & Joe Emerson
More Bounce To The Ounce,Zapp
Pyramids,Frank Ocean
Flutes,Hot Chip
Chained,The xx
Cheap Beer,FIDLAR
Grown Up,Danny Brown
How Deep Is Your Love?,The Rapture
Mornin',Star Slinger
Gucci Gucci,Kreayshawn
Principles,Benoit & Sergio
Dead Wrong,Hanni El Khatib
Pharaohs (feat. Roses Gabor),SBTRKT
No Fun,The Stooges
I Wanna Be Your Dog,The Stooges
We Are Young - The Popopopops Remix,Juveniles
Bop Gun (One Nation) - Radio Edit,Ice Cube
Don't Die,Killer Mike
Van Vogue,Azealia Banks
How Do You Do?,Hot Chip
Night And Day,Hot Chip
Mi Swing es Tropical,Nickodemus
Stock Exchange,Miss Kittin
Changes,Crazy P
Obedear,Purity Ring
Slow Down,Poolside
I Don't Like,Chief Keef
The Kids Were Wrong,Memoryhouse
Her Fantasy,Matthew Dear
About to Die,Dirty Projectors
Best Night,The War On Drugs
Brothers,The War On Drugs
Two Of Hearts,Stacey Q
Sure Thing,Miguel
Outro,M83
Money Trees,Kendrick Lamar
Got No Money,FIDLAR
Black Out Stout,FIDLAR
Adorn,Miguel
Space Cakes - Original,Tanner Ross
Females Welcomed (feat. Reija Lee),Trinidad James
Fineshrine,Purity Ring
Flow,Disclosure
O.G,Booba
Gucci On The Rise,Gucci Mane
Traffic,Lil Reese
Dum Dum,Baauer
Gone, Gone,Juicy J
Can't Seem To Make You Mine,Sky Saxon & The Seeds
Check Me Out Like,Blaqstarr
Demon To Lean On,Wavves
Walk In The Park,Beach House
MDA,Problem
Levitate,Paper Diamond
The Lion - Original Mix,The Partysquad
For Your Love - Club Edit,The Partysquad
Get Lucky - Daft Punk Remix,Daft Punk
Ride The Rhythm,On The House featuring Marshall Jefferson
Move Your Body - Extended Mix,Benny Benassi
Don’t Drop That Thun Thun,Finatticz
Hulk (Dillon Francis Remix),Clockwork
You & Me - Baauer Remix,Disclosure
It's You,Duck Sauce
The Giver - Original Mix,Duke Dumont
Lean & Bounce,Duke Dumont
Living,2 Chainz
Drippin,MiM0SA
Northern Lights,Kate Boy
Work,A$AP Ferg
Now You Do,A-1
Test Me,Flosstradamus & DJ Sliink
25 Bucks [feat. Purity Ring],Danny Brown
This Lonely Morning,Best Coast
Need U (100%) [feat. A*M*E] [Radio Edit],Duke Dumont
Tennis Court,Lorde
Latch,Disclosure
Falling,HAIM
Bumpy Road,Destruction Unit
Shabba,A$AP Ferg
White Rabbit,Jefferson Airplane
Bound 2,Kanye West
Drunk in Love,Beyoncé
Sacrilege,Yeah Yeah Yeahs
Collard Greens,ScHoolboy Q
