Redbone,Childish Gambino
Xanny Family,Future
Gyöngyhajú lány,Omega
Oh lala,PNL
One Nation Under a Groove,Funkadelic
Imma Ride,Young Thug
Girlfriend,Ty Segall
If I Gave You My Love,Myron & E
This Ready Flesh,TR/ST
Lose My Mind,A-Trak
Look Alive,Rae Sremmurd
Check,Young Thug
Bang That,Disclosure
I Don't Sell Molly No More,ILoveMakonnen
Fantastic Man,William Onyeabor
L$D,A$AP Rocky
Ikimiz Bir Fidaniz - Baris K Edit,Umit Aksu Orkestrasi
Our Love,Caribou
They Don't Know - Original Mix,Disciples
Sabali,Amadou & Mariam
Pick Up The Pieces,Average White Band
Words I Don't Remember,How To Dress Well
To The Top,Twin Shadow
Aquafina (feat. GoldLink & Chaz French),Falcons
Maneuvering,ILoveMakonnen
Be My Baby,The Ronettes
Why Don't They Let Us Fall in Love,The Ronettes
Will You Love Me Tomorrow,The Shirelles
One Fine Day,The Chiffons
He's So Fine - 2000 Digital Remaster,The Chiffons
Then He Kissed Me,The Crystals
It's My Party,Lesley Gore
Please Mr. Postman,The Marvelettes
Fiesta - Remix,Bomba Estéreo
I Know There's Gonna Be (Good Times),Jamie xx
Hotline Bling,Drake
Trap Queen,Fetty Wap
9,Willow
Pussy,Brazilian Girls
Sippin On Some Syrup,Three 6 Mafia
Smell Yo D*ck,Riskay
Don't Wanna Lose,Ex Hex
Coming Home,Leon Bridges
Dark Matter,Feathers
When A Fire Starts To Burn - Midland Remix,Disclosure
No Rest For The Wicked,Lykke Li
GodLovesUgly,Atmosphere
All These Things That I've Done,The Killers
Le Goudron (Edit),YACHT
Look at You,George McCrae
Every 1's A Winner - Single Version,Hot Chocolate
High School Lover,Cayucas
Light House,Future Islands
Words I Don't Remember,How To Dress Well
Sanctified,Rick Ross
Counting,Autre Ne Veut
Estrelar,Marcos Valle
Stay High - Habits Remix,Tove Lo
Crosstown Traffic,Jimi Hendrix
Ziggy Starfish (Anxiety Raps) [feat. Gold Panda],Open Mike Eagle
Marijuana,Chrome Sparks
Crown Violet - Bonus Track,Azizi Gibson
Dancing In The Rain,Blu
Flashlight,Parliament
Can You Get To That,Funkadelic
Pony,Pretty Sister
Again,Fetty Wap
River,Ibeyi
Mykonos (feat. Fleet Foxes),Rhythms Del Mundo
Bitch,Allie X
Rhythm of Devotion,Sisyphus
The New International Sound, Pt. 2 (feat. M.I.A.),GENER8ION
Suede (feat. Anderson Paak & Knxwledge),NxWorries
Alright,Logic
Rainy Streets,Blue In Green
The Hills,The Weeknd
Johnny Was,Bob Marley & The Wailers
Love Buzz,Shocking Blue
Ambling Alp,Yeasayer
All Day And All Of The Night,The Kinks
Strychnine,The Sonics
Here I Come (Broader Than Broadway),Barrington Levy
Swords,M.I.A.
Hands On The Wheel,ScHoolboy Q
Métele,Buscabulla
Zombie,Fela Kuti
Let's Lovedance Tonight - Danny Krivit Re-edit - Dk Re-Edit,Gary's Gang
Cadillac Girl,Only Real
I Choose You,Willie Hutch
Nimble Girl,Hotel Eden
Number One,Tuxedo
Lost You,Zeds Dead
Eleven 11: / 11,Rob Curly
Talk About,Les Sins
Walk On By - Single Version,Isaac Hayes
BKNY,Fat Tony
Night Drive,Part Time
The Moment,Tame Impala
R.I.C.O. (feat. Drake),Meek Mill
Hunger Of The Pine,alt-J
Symptom - Original Mix,Deapmash
Cry Like A Ghost,Passion Pit
Disparate Youth,Santigold
Origins,Tennis
Affection,Crystal Castles
Losing You,Solange
Second Song,TV On The Radio
Midnight City,M83
Lonely Boy,The Black Keys
Caffeinated Consciousness,TV On The Radio
Need You Now,Cut Copy
Abducted,Cults
Computer Love,Zapp
You Don't Love Me (No No No),Dawn Penn
The Yes Strut,Teams vs. Star Slinger
86 Carrot Gold,Teams vs. Star Slinger
See Me Now,Cassius
Every Freakin' - DJ Ayres remix,DJ Eleven
Long Heels Red Bottoms,Trina
Embody,Sebastian
Didn't You,Cloud Nothings
Sleeping Ute,Grizzly Bear
Can I Kick It?,A Tribe Called Quest
Hood Pass Intact feat. MC Eiht,Dâm-Funk
Birthday Song,2 Chainz
Oh,FIDLAR
No Waves,FIDLAR
Wake Bake Skate,FIDLAR
No Ass,FIDLAR
Plague,Crystal Castles
Kerosene,Crystal Castles
Wrath Of God,Crystal Castles
Pale Flesh,Crystal Castles
Past Lives,DIIV
Anything New,Bibio
Louie Louie,Toots & The Maytals
All Of Me,Tanlines
Blueberry (Pills & Cocaine) (feat. Danny Brown),Darq E Freaker
Max Can't Surf,FIDLAR
Be A Body,Grimes
Unchained (The Payback / Untouchable),James Brown
Stomp - Dirty,5kinAndBone5
Borrowed Time,Parquet Courts
Young N*****,Gucci Mane
What I Might Do - Club Mix,Ben Pearce
I Love It (feat. Charli XCX) - Original Version,Icona Pop
The Mighty Ming - Original Club Mix,Funkagenda
Do You Like It? (Feat. Kool A.D),Chaz Van Queen
Oldie,Odd Future
Started From the Bottom,Drake
Can't Shake This Feeling,Grum
Reckless (With Your Love) - Tensnake Remix,Azari & III
Never Be Your Woman (Shy FX Radio Edit) [feat. Emeli Sandé],Wiley
(Bonus) Break Her Down,Iamsu!
8 Feet Tall,Problem
Lofticries,Purity Ring
Get Lucky - Radio Edit,Daft Punk
Kids,Iamsu!
Rockin' In The Free World,Neil Young
Wop (Official Version),J. Dash
Dead Sound,The Raveonettes
Next Order,Dog Blood
Bounce It,Juicy J
Gas Pedal (feat. IamSu),Sage The Gemini
VERSACE,Flap Jack
Swishas and Dosha - Main Version - Clean,UGK
Hold On, We're Going Home,Drake
The Drop,Bro Safari
I Need You,Glass Figure
Shabba,A$AP Ferg
U.O.E.N.O. (feat. Rick Ross, Future),Rocko
No New Friends - SFTB Remix,DJ Khaled
Can We Go Up?,Paper Diamond
Sad Eyes,Crystal Castles
Wearing My Rolex - Radio Edit,Wiley
Reflektor,Arcade Fire
Jack,Breach
Dope,Tyga
Sunshine Of Your Love,Cream
Somebody to Love,Jefferson Airplane
San Francisco (Be Sure to Wear Flowers In Your Hair) - Single Version,Scott McKenzie
Hell Of A Night,ScHoolboy Q
Outlines,AlunaGeorge
The Devil Is A Lie,Rick Ross
III. Telegraph Ave. ("Oakland" by Lloyd),Childish Gambino
0 To 100 / The Catch Up,Drake
Hot N*gga,Bobby Shmurda
Bulbform,TR/ST
Tuesday,ILoveMakonnen
Drop Dead Baby,Ty Segall
18 With A Bullet,Pete Wingfield
The Boss,James Brown
Drifting In And Out,Porcelain Raft
Way to be Loved,TOPS
Just Wanna Love You Girl,Epsilons
Be Brave,The Strange Boys
Somebody Was Watching,Pops Staples
Work - The Advent & Spiriakos Remix,ZZT
Holding On,Disclosure
Mozart: Requiem in D Minor, K. 626: VIII. Lacrimosa,Nikolaus Harnoncourt
Southern Man - Live,Crosby, Stills, Nash & Young
Chrome Knight - Feat. Chromeo,Surkin
Nissim,The Gaslamp Killer
Stand Up - Tiger & Woods Remix,Pitchben
Let's Lovedance Tonight - Danny Krivit Re-edit - Original Disco Version,Gary's Gang
Too Bad I Have To Destroy You Now,Kid Cudi
Louie Louie,The Sonics
Heart Full of Soul,The Yardbirds
Episode I - Duel of The Fates,John Williams
Three Cool Cats,The Coasters
Mercy,The Third Degree
Cavern,Liquid Liquid
Your Love,Mick Jenkins
Smoke On The Water,Deep Purple
